Concurrent workers; 68
Granulatiry; 10
Lifeline class; handist.collections.glb.lifeline.Hypercube
Serialization; KRYO
place(0): thread waiting on operation handist.collections.glb.GlbOperation@5
place(2): thread waiting on operation handist.collections.glb.GlbOperation@5place(3): thread waiting on operation handist.collections.glb.GlbOperation@5

place(1): thread waiting on operation handist.collections.glb.GlbOperation@5
place(3) worker(24) stopped --- 46 stopped workers
place(3) worker(16) stopped --- 46 stopped workers
place(3) worker(41) stopped --- 46 stopped workers
place(3) worker(56) stopped --- 46 stopped workers
place(3) worker(58) stopped --- 44 stopped workers
place(3) worker(45) stopped --- 42 stopped workers
place(3) worker(40) stopped --- 42 stopped workers
place(3) worker(53) stopped --- 42 stopped workers
place(3) worker(33) stopped --- 43 stopped workers
place(3) worker(18) stopped --- 42 stopped workers
place(3) worker(31) stopped --- 42 stopped workers
place(3) worker(29) stopped --- 46 stopped workers
place(3) worker(65) stopped --- 43 stopped workers
place(3) worker(60) stopped --- 44 stopped workers
place(3) worker(0) stopped --- 43 stopped workers
place(3) worker(63) stopped --- 43 stopped workers
place(3) worker(52) stopped --- 42 stopped workers
place(3) worker(51) stopped --- 43 stopped workers
place(3) worker(62) stopped --- 39 stopped workers
place(3) worker(28) stopped --- 37 stopped workers
place(3) worker(10) stopped --- 40 stopped workers
place(3) worker(44) stopped --- 39 stopped workers
place(3) worker(36) stopped --- 37 stopped workers
place(3) worker(25) stopped --- 38 stopped workers
place(3) worker(49) stopped --- 40 stopped workers
place(3) worker(67) stopped --- 39 stopped workers
place(3) worker(37) stopped --- 39 stopped workers
place(3) worker(32) stopped --- 38 stopped workers
place(3) worker(66) stopped --- 38 stopped workers
place(3) worker(64) stopped --- 34 stopped workers
place(3) worker(5) stopped --- 36 stopped workers
place(3) worker(14) stopped --- 35 stopped workers
place(3) worker(39) stopped --- 36 stopped workers
place(3) worker(21) stopped --- 32 stopped workers
place(3) worker(9) stopped --- 32 stopped workers
place(3) worker(30) stopped --- 23 stopped workers
place(3) worker(35) stopped --- 23 stopped workers
place(3) worker(38) stopped --- 19 stopped workers
place(3) worker(27) stopped --- 20 stopped workers
place(3) worker(26) stopped --- 21 stopped workers
place(3) worker(11) stopped --- 22 stopped workers
place(3) worker(55) stopped --- 22 stopped workers
place(3) worker(43) stopped --- 23 stopped workers
place(3) worker(31) stopped --- 22 stopped workers
place(3) worker(48) stopped --- 20 stopped workers
place(3) worker(4) stopped --- 18 stopped workers
place(3) worker(51) stopped --- 9 stopped workers
place(3) worker(22) stopped --- 6 stopped workers
place(3) worker(19) stopped --- 9 stopped workers
place(3) worker(20) stopped --- 9 stopped workers
place(3) worker(39) stopped --- 7 stopped workers
place(3) worker(59) stopped --- 7 stopped workers
place(3) worker(35) stopped --- 68 stopped workers
place(3): resumed after waiting on handist.collections.glb.GlbOperation@5
place(3) worker(64) stopped --- 67 stopped workers
place(3) worker(29) stopped --- 66 stopped workers
place(3) worker(22) stopped --- 66 stopped workers
place(3) worker(2) stopped --- 65 stopped workers
place(3) worker(8) stopped --- 63 stopped workers
place(3) worker(39) stopped --- 62 stopped workers
place(3) worker(37) stopped --- 61 stopped workers
place(3) worker(4) stopped --- 59 stopped workers
place(3) worker(13) stopped --- 58 stopped workers
place(3) worker(67) stopped --- 56 stopped workers
place(3) worker(42) stopped --- 54 stopped workers
place(3) established lifeline on place(2) for collection DistChunkedList:gid(1)
-DistColGlb- [place(2)] to [place(3)]: [4765000,4766000) [4769000,4770000) [4773000,4774000) [4777000,4778000) [4781000,4782000) [4785000,4786000) [4789000,4790000) [4793000,4794000) [4797000,4798000) [4801000,4802000) 
place(3) established lifeline on place(1) for collection DistChunkedList:gid(1)
place(0) established lifeline on place(1) for collection DistChunkedList:gid(1)
place(2) worker(35) stopped --- 5 stopped workers
place(2) worker(48) stopped --- 5 stopped workers
place(2) worker(36) stopped --- 5 stopped workers
place(2) worker(50) stopped --- 5 stopped workers
place(2) worker(11) stopped --- 5 stopped workers
place(2) worker(60) stopped --- 0 stopped workers
place(2) worker(52) stopped --- 7 stopped workers
place(2) worker(56) stopped --- 0 stopped workers
place(2) worker(59) stopped --- 0 stopped workers
place(2) worker(36) stopped --- 0 stopped workers
place(2) worker(38) stopped --- 0 stopped workers
place(2) worker(11) stopped --- 1 stopped workers
place(2) worker(50) stopped --- 0 stopped workers
place(2) worker(11) stopped --- 0 stopped workers
place(2) worker(10) stopped --- 0 stopped workers
place(2) worker(61) stopped --- 5 stopped workers
place(2) worker(64) stopped --- 0 stopped workers
place(2) worker(1) stopped --- 6 stopped workers
place(2) worker(34) stopped --- 1 stopped workers
place(2) worker(52) stopped --- 1 stopped workers
place(2) worker(6) stopped --- 5 stopped workers
place(2) worker(59) stopped --- 1 stopped workers
place(2) worker(61) stopped --- 1 stopped workers
place(2) worker(49) stopped --- 0 stopped workers
place(2) worker(60) stopped --- 5 stopped workers
place(2) worker(62) stopped --- 8 stopped workers
place(2) worker(56) stopped --- 0 stopped workers
place(2) worker(16) stopped --- 0 stopped workers-DistColGlb- [place(1)] to [place(3)]: [1646000,1647000) [1650000,1651000) [1654000,1655000) [1658000,1659000) [1662000,1663000) [1666000,1667000) [1670000,1671000) [1674000,1675000) [1678000,1679000) [1682000,1683000) 

place(2) worker(2) stopped --- 5 stopped workers
place(2) worker(32) stopped --- 0 stopped workers
place(2) worker(34) stopped --- 6 stopped workers
place(2) worker(48) stopped --- 6 stopped workers
place(2) worker(36) stopped --- 9 stopped workers
place(2) worker(0) stopped --- 7 stopped workers
place(2) worker(45) stopped --- 6 stopped workers
place(2) worker(48) stopped --- 8 stopped workers
place(2) worker(25) stopped --- 10 stopped workers
place(2) worker(43) stopped --- 6 stopped workers
place(2) worker(54) stopped --- 3 stopped workers
place(2) worker(30) stopped --- 8 stopped workers
place(2) worker(55) stopped --- 4 stopped workers
place(2) worker(50) stopped --- 3 stopped workers
place(2) worker(43) stopped --- 12 stopped workers
place(2) worker(15) stopped --- 5 stopped workers
place(2) worker(29) stopped --- 13 stopped workers
place(2) worker(35) stopped --- 0 stopped workers
place(2) worker(31) stopped --- 14 stopped workers
place(2) worker(39) stopped --- 4 stopped workers
place(2) worker(67) stopped --- 4 stopped workers
place(2) worker(53) stopped --- 13 stopped workers
place(2) worker(41) stopped --- 15 stopped workers
place(2) worker(55) stopped --- 13 stopped workers
place(2) worker(32) stopped --- 15 stopped workers
place(2) worker(41) stopped --- 13 stopped workers
place(2) worker(24) stopped --- 15 stopped workers
place(2) worker(56) stopped --- 13 stopped workers
place(2) worker(37) stopped --- 16 stopped workers
place(2) worker(62) stopped --- 12 stopped workers
place(2) worker(28) stopped --- 11 stopped workers
place(2) worker(50) stopped --- 10 stopped workers
place(2) worker(35) stopped --- 11 stopped workers
place(2) worker(45) stopped --- 11 stopped workers
place(2) worker(57) stopped --- 8 stopped workers
place(2) worker(36) stopped --- 19 stopped workers
place(2) worker(0) stopped --- 10 stopped workers
place(2) worker(27) stopped --- 9 stopped workers
place(2) worker(42) stopped --- 19 stopped workers
-DistColGlb- [place(1)] to [place(0)]: [1602000,1603000) [1606000,1607000) [1610000,1611000) [1614000,1615000) [1618000,1619000) [1622000,1623000) [1626000,1627000) [1630000,1631000) [1634000,1635000) [1638000,1639000) 
place(2) worker(44) stopped --- 9 stopped workers
place(2) worker(32) stopped --- 10 stopped workers
place(2) worker(39) stopped --- 8 stopped workers
place(2) worker(21) stopped --- 22 stopped workers
place(2) worker(16) stopped --- 8 stopped workers
place(2) worker(9) stopped --- 23 stopped workers
place(2) worker(53) stopped --- 24 stopped workers
place(2) worker(27) stopped --- 6 stopped workers
place(2) worker(36) stopped --- 6 stopped workers
place(2) worker(44) stopped --- 5 stopped workers
place(2) worker(30) stopped --- 8 stopped workers
place(2) worker(24) stopped --- 28 stopped workers
place(2) worker(28) stopped --- 7 stopped workers
place(2) worker(4) stopped --- 7 stopped workers
place(2) worker(17) stopped --- 6 stopped workers
place(2) worker(9) stopped --- 5 stopped workers
place(2) worker(56) stopped --- 29 stopped workers
place(2) worker(4) stopped --- 6 stopped workers
place(2) worker(8) stopped --- 9 stopped workers
place(2) worker(57) stopped --- 9 stopped workers
place(2) worker(15) stopped --- 31 stopped workers
place(2) worker(44) stopped --- 9 stopped workers
place(2) worker(49) stopped --- 7 stopped workers
place(2) worker(61) stopped --- 5 stopped workers
place(2) worker(11) stopped --- 29 stopped workers
place(2) worker(31) stopped --- 5 stopped workers
place(2) worker(37) stopped --- 4 stopped workers
place(2) worker(42) stopped --- 5 stopped workers
place(2) worker(21) stopped --- 5 stopped workers
place(2) worker(41) stopped --- 8 stopped workers
place(2) worker(33) stopped --- 8 stopped workers
place(2) worker(62) stopped --- 30 stopped workers
place(2) worker(62) stopped --- 8 stopped workers
place(2) worker(18) stopped --- 30 stopped workers
place(2) worker(25) stopped --- 8 stopped workers
place(2) worker(37) stopped --- 8 stopped workers
place(2) worker(44) stopped --- 30 stopped workers
place(2) worker(39) stopped --- 31 stopped workers
place(2) worker(9) stopped --- 33 stopped workers
place(2) worker(13) stopped --- 8 stopped workers
place(2) worker(31) stopped --- 5 stopped workers
place(2) worker(44) stopped --- 5 stopped workers
place(2) worker(51) stopped --- 0 stopped workers
place(2) worker(27) stopped --- 0 stopped workers
place(2) worker(28) stopped --- 0 stopped workers
place(2) worker(3) stopped --- 0 stopped workers
place(2) worker(58) stopped --- 0 stopped workers
place(2) worker(64) stopped --- 39 stopped workers
place(2) worker(67) stopped --- 1 stopped workers
place(2) worker(66) stopped --- 1 stopped workers
place(2) worker(17) stopped --- 1 stopped workers
place(2) worker(22) stopped --- 2 stopped workers
place(2) worker(12) stopped --- 3 stopped workers
place(2) worker(5) stopped --- 1 stopped workers
place(2) worker(26) stopped --- 0 stopped workers
place(2) worker(53) stopped --- 34 stopped workers
place(2) worker(63) stopped --- 0 stopped workers
place(2) worker(46) stopped --- 3 stopped workers
place(2) worker(15) stopped --- 36 stopped workers
place(2) worker(4) stopped --- 4 stopped workers
place(2) worker(20) stopped --- 3 stopped workers
place(2) worker(14) stopped --- 4 stopped workers
place(2) worker(40) stopped --- 3 stopped workers
place(2) worker(3) stopped --- 5 stopped workers
place(2) worker(7) stopped --- 6 stopped workers
place(2) worker(29) stopped --- 8 stopped workers
place(2) worker(53) stopped --- 7 stopped workers
place(2) worker(24) stopped --- 0 stopped workers
place(2) worker(18) stopped --- 6 stopped workers
place(2) worker(65) stopped --- 1 stopped workers
place(2) worker(9) stopped --- 2 stopped workers
place(2) worker(37) stopped --- 43 stopped workers
place(2) worker(45) stopped --- 0 stopped workers
place(2) worker(19) stopped --- 0 stopped workers
place(2) worker(36) stopped --- 46 stopped workers
place(2) worker(43) stopped --- 46 stopped workers
place(2) worker(48) stopped --- 45 stopped workers
place(2) worker(63) stopped --- 49 stopped workers
place(2) worker(56) stopped --- 50 stopped workers
place(2) worker(7) stopped --- 43 stopped workers
place(2) worker(62) stopped --- 42 stopped workers
place(2) worker(16) stopped --- 50 stopped workers
place(2) worker(9) stopped --- 53 stopped workers
place(2) worker(19) stopped --- 54 stopped workers
place(2) worker(25) stopped --- 41 stopped workers
place(2) worker(13) stopped --- 40 stopped workers
place(2) worker(58) stopped --- 40 stopped workers
place(2) worker(66) stopped --- 40 stopped workers
place(2) worker(14) stopped --- 54 stopped workers
place(2) worker(8) stopped --- 39 stopped workers
place(2) worker(3) stopped --- 57 stopped workers
place(2) worker(49) stopped --- 58 stopped workers
place(2) worker(21) stopped --- 59 stopped workers
place(2) worker(55) stopped --- 38 stopped workers
place(2) worker(10) stopped --- 61 stopped workers
place(2) worker(5) stopped --- 40 stopped workers
place(2) worker(18) stopped --- 64 stopped workers
place(2) worker(44) stopped --- 39 stopped workers
place(2) worker(3) stopped --- 38 stopped workers
place(2) worker(11) stopped --- 37 stopped workers
place(2) worker(51) stopped --- 36 stopped workers
place(2) worker(33) stopped --- 36 stopped workers
place(2) worker(2) stopped --- 35 stopped workers
place(2) worker(54) stopped --- 34 stopped workers
place(2) worker(9) stopped --- 33 stopped workers
place(2) worker(12) stopped --- 33 stopped workers
place(2) worker(20) stopped --- 32 stopped workers
place(2) worker(65) stopped --- 32 stopped workers
place(2) worker(38) stopped --- 31 stopped workers
place(2) worker(42) stopped --- 31 stopped workers
place(2) worker(67) stopped --- 31 stopped workers
place(2) worker(37) stopped --- 31 stopped workers
place(2) worker(28) stopped --- 33 stopped workers
place(2) worker(40) stopped --- 38 stopped workers
place(2) worker(41) stopped --- 38 stopped workers
place(2) worker(30) stopped --- 39 stopped workers
place(2) worker(60) stopped --- 38 stopped workers
place(2) worker(50) stopped --- 37 stopped workers
place(2) worker(24) stopped --- 37 stopped workers
place(2) worker(26) stopped --- 36 stopped workers
