GRAIN;Step;ElapsedTime
1000;Iter 15; 3569.649359 ms
1000;Iter 16; 3758.42891 ms
1000;Iter 17; 3726.079498 ms
1000;Iter 18; 3769.249257 ms
1000;Iter 19; 3872.866344 ms
1000;Iter 20; 3874.524774 ms
1000;Iter 21; 3791.931938 ms
1000;Iter 22; 3875.250339 ms
1000;Iter 23; 3660.808105 ms
1000;Iter 24; 3627.726915 ms
1000;Iter 25; 4004.099461 ms
1000;Iter 26; 3666.622303 ms
1000;Iter 27; 3628.055578 ms
1000;Iter 28; 3701.88346 ms
1000;Iter 29; 4001.529445 ms
10000;Init; 38204.360755 ms
10000;Iter 0; 4361.979189 ms
10000;Iter 1; 3548.605677 ms
10000;Iter 2; 3572.877386 ms
10000;Iter 3; 3284.381181 ms
10000;Iter 4; 3321.661471 ms
10000;Iter 5; 3535.976255 ms
10000;Iter 6; 3545.8409 ms
10000;Iter 7; 3613.266992 ms
10000;Iter 8; 3651.146319 ms
10000;Iter 9; 3659.358702 ms
10000;Iter 10; 3660.947995 ms
10000;Iter 11; 3684.797216 ms
10000;Iter 12; 3346.366899 ms
10000;Iter 13; 3695.462078 ms
10000;Iter 14; 3409.770309 ms
10000;Iter 15; 3795.636908 ms
10000;Iter 16; 3409.178296 ms
10000;Iter 17; 3675.744088 ms
10000;Iter 18; 3504.500687 ms
10000;Iter 19; 3812.980055 ms
10000;Iter 20; 3912.662045 ms
10000;Iter 21; 3862.499326 ms
10000;Iter 22; 3913.640403 ms
10000;Iter 23; 3543.954108 ms
10000;Iter 24; 3651.816306 ms
10000;Iter 25; 3909.44927 ms
10000;Iter 26; 3935.15418 ms
10000;Iter 27; 3905.00401 ms
10000;Iter 28; 3927.44861 ms
10000;Iter 29; 4025.834764 ms
10000;Init; 37493.505419 ms
10000;Iter 0; 4035.499378 ms
10000;Iter 1; 3631.873361 ms
10000;Iter 2; 3244.430228 ms
10000;Iter 3; 3614.511378 ms
10000;Iter 4; 3342.772453 ms
10000;Iter 5; 3437.115035 ms
10000;Iter 6; 3626.857637 ms
10000;Iter 7; 3723.468336 ms
10000;Iter 8; 3361.626958 ms
10000;Iter 9; 3698.590882 ms
10000;Iter 10; 3647.322533 ms
10000;Iter 11; 3353.038817 ms
10000;Iter 12; 3527.38686 ms
10000;Iter 13; 3476.388128 ms
10000;Iter 14; 3394.784508 ms
10000;Iter 15; 3573.060258 ms
10000;Iter 16; 3463.806139 ms
10000;Iter 17; 3624.507148 ms
10000;Iter 18; 3949.346425 ms
10000;Iter 19; 3746.037262 ms
10000;Iter 20; 3860.228259 ms
10000;Iter 21; 3546.592686 ms
10000;Iter 22; 3850.324971 ms
10000;Iter 23; 3864.964353 ms
10000;Iter 24; 3885.222725 ms
10000;Iter 25; 3619.018176 ms
10000;Iter 26; 3586.384516 ms
10000;Iter 27; 3953.226784 ms
10000;Iter 28; 4012.686247 ms
10000;Iter 29; 3989.119301 ms
10000;Init; 38268.993703 ms
10000;Iter 0; 4339.068737 ms
10000;Iter 1; 3207.681026 ms
10000;Iter 2; 3528.577726 ms
10000;Iter 3; 3250.151167 ms
10000;Iter 4; 3195.181268 ms
10000;Iter 5; 3221.645899 ms
10000;Iter 6; 3243.452466 ms
10000;Iter 7; 3308.828078 ms
10000;Iter 8; 3258.777426 ms
10000;Iter 9; 3553.238012 ms
10000;Iter 10; 3291.384262 ms
10000;Iter 11; 3266.021887 ms
10000;Iter 12; 3359.47468 ms
10000;Iter 13; 3330.951518 ms
10000;Iter 14; 3308.195599 ms
10000;Iter 15; 3482.496263 ms
10000;Iter 16; 3367.026638 ms
10000;Iter 17; 3487.7387 ms
10000;Iter 18; 3741.665382 ms
10000;Iter 19; 3743.862973 ms
10000;Iter 20; 3828.603818 ms
10000;Iter 21; 3802.273705 ms
10000;Iter 22; 3843.384411 ms
10000;Iter 23; 3557.613251 ms
10000;Iter 24; 3858.32314 ms
10000;Iter 25; 3899.857019 ms
10000;Iter 26; 3609.159279 ms
10000;Iter 27; 3708.881224 ms
10000;Iter 28; 3721.299001 ms
10000;Iter 29; 3613.38193 ms
10000;Init; 37986.203654 ms
10000;Iter 0; 4321.393565 ms
10000;Iter 1; 3574.211301 ms
10000;Iter 2; 3499.71651 ms
10000;Iter 3; 3266.489082 ms
10000;Iter 4; 3502.155628 ms
10000;Iter 5; 3272.578845 ms
10000;Iter 6; 3299.012165 ms
10000;Iter 7; 3644.807938 ms
10000;Iter 8; 3562.855932 ms
10000;Iter 9; 3297.443602 ms
10000;Iter 10; 3651.495558 ms
10000;Iter 11; 3317.094772 ms
10000;Iter 12; 3740.680422 ms
10000;Iter 13; 3724.921814 ms
10000;Iter 14; 3377.678765 ms
10000;Iter 15; 3897.569886 ms
10000;Iter 16; 3589.42982 ms
10000;Iter 17; 3756.679149 ms
10000;Iter 18; 3485.579724 ms
10000;Iter 19; 3519.131811 ms
10000;Iter 20; 3452.722594 ms
10000;Iter 21; 3862.959744 ms
10000;Iter 22; 3513.941894 ms
10000;Iter 23; 3591.677141 ms
10000;Iter 24; 3936.35897 ms
10000;Iter 25; 3604.576012 ms
10000;Iter 26; 3996.816484 ms
10000;Iter 27; 3987.987855 ms
10000;Iter 28; 3651.252349 ms
10000;Iter 29; 3630.257905 ms
10000;Init; 38042.6123 ms
10000;Iter 0; 4391.381455 ms
10000;Iter 1; 3621.510082 ms
10000;Iter 2; 3565.15976 ms
10000;Iter 3; 3257.040645 ms
10000;Iter 4; 3511.976886 ms
10000;Iter 5; 3309.564598 ms
10000;Iter 6; 3335.963471 ms
10000;Iter 7; 3334.992602 ms
10000;Iter 8; 3526.254741 ms
10000;Iter 9; 3262.638904 ms
10000;Iter 10; 3270.313331 ms
10000;Iter 11; 3386.223555 ms
10000;Iter 12; 3609.944546 ms
10000;Iter 13; 3733.328998 ms
10000;Iter 14; 3720.122332 ms
10000;Iter 15; 3497.677241 ms
10000;Iter 16; 3703.615938 ms
10000;Iter 17; 3460.346863 ms
10000;Iter 18; 3399.814021 ms
10000;Iter 19; 3447.343126 ms
10000;Iter 20; 3488.964914 ms
10000;Iter 21; 3489.232273 ms
10000;Iter 22; 3571.284768 ms
10000;Iter 23; 3853.173941 ms
10000;Iter 24; 3962.359488 ms
10000;Iter 25; 3642.183696 ms
10000;Iter 26; 3540.995287 ms
10000;Iter 27; 3605.600747 ms
10000;Iter 28; 3691.246561 ms
10000;Iter 29; 3919.6147 ms
